epoch,BM-TA,BM-TCA,BM-SA,AM-TA,AM-TCA,AM-SA
60,86.6197969,85.70472046,93.58,87.95893315,87.16661087,93.7
61,86.46356433,85.4368932,93.19,87.85849794,87.09965406,93.54
62,86.21805602,85.30297958,93.62,88.94096641,88.03704944,94.04
63,86.06182346,85.14674701,93.4,88.58386341,87.60183015,94.05
64,86.49704274,85.31413905,93.46,88.52806606,87.67994643,93.8
65,85.98370718,84.82312242,93.32,88.67313916,87.79154112,93.87
66,85.55964736,84.1870327,93.2,88.60618235,87.85849794,93.99
67,86.34081018,85.02399286,93.49,88.71777703,87.836179,93.88
68,85.44805267,84.48833836,92.96,88.08168731,87.13313246,93.71
69,85.4034148,84.45485995,92.83,88.85169066,87.99241156,93.89
70,85.95022877,85.0463118,93.2,88.88516907,87.93661422,94.08
71,84.26514898,83.08224529,92.65,87.61298962,86.83182681,93.62
72,85.34761745,84.25398951,92.8,88.78473385,87.67994643,93.85
73,86.63095637,85.41457427,93.1,87.99241156,87.08849459,93.77
74,85.5819663,83.70717554,92.91,88.97444482,88.0147305,94.14
75,85.4368932,83.93036491,92.81,88.7289365,87.63530856,94.08
76,85.0797902,83.80761076,92.9,88.61734181,87.6911059,93.87
77,84.89007923,83.56210244,93.05,88.7289365,87.59067068,93.96
78,84.81196295,83.79645129,92.72,89.18647472,88.00357103,94.08
79,86.35196965,84.93471711,93.25,88.50574713,87.57951122,93.89
80,85.70472046,84.46601942,93.27,89.11951791,88.18212253,94.29
81,85.05747126,83.53978351,93.1,88.63966075,87.90313581,94
82,85.91675036,84.99051445,92.99,88.91864747,88.15980359,94.11
83,85.15790648,83.62905926,92.84,88.03704944,86.92110256,93.86
84,86.66443477,85.42573374,93.54,88.75125544,87.6911059,93.84
85,85.69356099,84.66688986,93.32,89.15299632,88.23791988,94.21
86,86.46356433,85.12442808,93.41,88.95212588,87.82501953,93.99
87,84.56645464,83.02644794,92.84,88.57270394,87.24472715,94.02
88,86.12878027,84.82312242,93.24,88.17096306,87.06617565,93.81
89,85.67124205,84.19819217,92.97,88.88516907,87.89197634,93.99
90,86.16225868,84.53297623,92.98,88.67313916,87.35632184,94.12
91,85.89443143,84.30978685,93.44,88.24907934,86.99921884,93.89
92,86.00602611,84.68920879,92.92,88.75125544,87.41211918,93.94
93,84.94587658,83.66253766,92.8,88.33835509,87.26704609,93.77
